iter	Passed	Remaining
577	1449	1058
578	1450	1054
579	1460	1057
580	1464	1055
581	1466	1052
582	1468	1050
583	1476	1051
584	1478	1049
585	1480	1045
586	1481	1042
587	1483	1039
588	1488	1038
589	1490	1035
590	1492	1033
591	1493	1029
592	1495	1026
593	1501	1026
594	1503	1023
595	1504	1020
596	1506	1016
597	1507	1013
598	1509	1010
599	1510	1006
600	1512	1004
601	1520	1005
602	1523	1002
603	1524	999
604	1525	996
605	1527	992
606	1528	989
607	1535	989
608	1537	987
609	1538	983
610	1539	980
611	1540	976
612	1542	974
613	1547	973
614	1550	970
615	1552	968
616	1554	964
617	1555	961
618	1560	960
619	1562	957
620	1564	954
621	1565	951
622	1566	947
623	1567	944
624	1568	941
625	1569	937
626	1570	934
627	1571	931
628	1573	928
629	1576	925
630	1578	922
631	1579	919
632	1580	916
633	1581	912
634	1581	909
635	1582	905
636	1583	902
637	1584	899
638	1585	895
639	1586	892
640	1588	889
641	1592	887
642	1594	885
643	1595	882
644	1596	878
645	1597	875
646	1598	872
647	1599	868
648	1599	865
649	1600	861
650	1603	859
651	1604	856
652	1605	853
653	1606	850
654	1607	846
655	1608	843
656	1609	840
657	1610	836
658	1610	833
659	1611	830
660	1612	827
661	1613	823
662	1614	820
663	1615	817
664	1617	814
665	1619	812
666	1620	809
667	1621	806
668	1622	802
669	1623	799
670	1624	796
671	1625	793
672	1626	790
673	1627	786
674	1627	783
675	1628	780
676	1629	777
677	1632	775
678	1634	772
679	1635	769
680	1635	766
681	1636	763
682	1637	760
683	1638	756
684	1639	753
685	1640	750
686	1641	747
687	1641	744
688	1642	741
689	1643	738
690	1644	735
691	1646	733
692	1647	730
693	1648	727
694	1649	723
695	1650	720
696	1651	718
697	1652	715
698	1653	712
699	1654	708
700	1655	705
701	1655	702
702	1656	699
703	1657	696
704	1658	693
705	1659	690
706	1660	688
707	1662	685
708	1662	682
709	1663	679
710	1664	676
711	1665	673
712	1666	670
713	1667	667
714	1667	664
715	1668	661
716	1669	659
717	1670	656
718	1671	653
719	1672	650
720	1672	647
721	1673	644
722	1676	642
723	1677	639
724	1678	636
725	1679	633
726	1680	631
727	1681	628
728	1682	625
729	1683	622
730	1684	619
731	1685	617
732	1686	614
733	1687	611
734	1688	608
735	1688	605
736	1690	603
737	1692	600
738	1693	598
739	1694	595
740	1695	592
741	1696	589
742	1697	587
743	1697	584
744	1698	581
745	1699	578
746	1700	575
747	1701	573
748	1702	570
749	1703	567
750	1704	565
751	1706	562
752	1708	560
753	1708	557
754	1709	554
755	1710	552
756	1711	549
757	1712	546
758	1713	543
759	1713	541
760	1714	538
761	1715	535
762	1716	533
763	1717	530
764	1718	527
765	1719	525
766	1721	522
767	1722	520
768	1723	517
769	1724	515
770	1725	512
771	1725	509
772	1726	507
773	1727	504
774	1728	501
775	1729	499
776	1730	496
777	1731	493
778	1731	491
779	1732	488
780	1735	486
781	1736	483
782	1736	481
783	1737	478
784	1738	476
785	1739	473
786	1740	471
787	1741	468
788	1742	465
789	1743	463
790	1743	460
791	1744	458
792	1745	455
793	1746	453
794	1747	450
795	1749	448
796	1750	445
797	1751	443
798	1752	440
799	1753	438
800	1754	435
801	1755	433
802	1756	430
803	1757	428
804	1757	425
805	1758	423
806	1759	420
807	1760	418
808	1761	415
809	1762	413
810	1762	410
811	1764	408
812	1765	406
813	1766	403
814	1767	401
815	1768	398
816	1768	396
817	1769	393
818	1770	391
819	1771	388
820	1772	386
821	1773	383
822	1773	381
823	1774	379
824	1775	376
825	1776	374
826	1777	371
827	1778	369
828	1779	367
829	1780	364
830	1781	362
831	1782	359
832	1783	357
833	1784	355
834	1784	352
835	1785	350
836	1786	347
837	1787	345
838	1788	343
839	1789	340
840	1790	338
841	1791	336
842	1791	333
843	1792	331
844	1794	329
845	1795	326
846	1796	324
847	1797	322
848	1798	319
849	1799	317
850	1799	315
851	1800	312
852	1801	310
853	1802	308
854	1803	305
855	1804	303
856	1805	301
857	1805	298
858	1806	296
859	1807	294
860	1810	292
861	1811	290
862	1812	287
863	1813	285
864	1814	283
865	1815	280
866	1815	278
867	1816	276
